type,from,to,Work at home,Study at home,"Drive a private car, truck or van","Drive a company car, truck or van","Passenger in a car, truck, van or company bus",Public bus,School bus,Train,Bicycle,Walk or jog,Ferry,Other,Total
Work,124600,124600,78,0,15,0,0,0,0,0,0,0,0,0,102
Work,124700,124700,99,0,12,6,0,0,0,0,0,9,0,0,126
Work,124800,124800,135,0,12,6,0,0,0,0,0,9,0,0,168
Work,124900,124900,75,0,9,0,0,0,0,0,0,0,0,0,90
Work,125000,125000,66,0,9,0,0,0,0,0,0,0,0,0,81
Work,125100,125100,21,0,9,0,0,0,0,0,0,0,0,0,33
Work,125200,125200,234,0,12,12,0,0,0,0,0,6,0,0,270
Work,125300,125300,153,0,15,6,0,0,0,0,0,0,0,0,183
Work,125400,125400,138,0,6,0,0,0,0,0,0,9,0,0,156
Work,125500,125500,135,0,9,0,0,0,0,0,0,15,0,0,162
Work,125600,125600,138,0,18,9,0,0,0,0,0,12,0,0,177
Work,125700,125700,57,0,24,12,0,0,0,0,0,36,0,0,132
Work,125800,125800,156,0,9,6,0,0,0,0,0,0,0,0,168
Work,125900,125900,165,0,18,0,0,0,0,0,0,21,0,0,207
Work,126000,126000,123,0,9,6,0,0,0,0,0,0,0,0,144
Work,126100,126100,93,0,6,0,0,0,0,0,0,0,0,0,108
Work,126200,126200,177,0,12,6,0,0,0,0,0,6,0,0,198
Work,126300,126300,189,0,27,0,0,0,0,0,0,6,0,0,228
Work,126400,126400,117,0,9,6,0,0,0,0,0,0,0,0,138
Work,126500,126500,138,0,9,6,0,0,0,0,0,0,0,0,156
Work,126600,126600,201,0,66,9,0,9,0,0,0,63,0,0,363
Work,126700,126700,102,0,6,0,0,0,0,0,0,0,0,0,117
Work,126800,126800,219,0,42,0,0,0,0,0,0,84,0,0,357
Work,126900,126900,150,0,27,9,0,0,0,0,0,0,0,0,192
Work,127000,127000,144,0,15,6,0,0,0,0,0,6,0,0,171
Work,127100,127100,75,0,12,0,0,0,0,0,0,21,0,0,111
Work,127200,127200,33,0,18,0,0,0,0,0,0,12,0,0,63
Work,127300,127300,123,0,21,0,0,0,0,0,0,9,0,0,159
Work,127400,127400,240,0,39,15,0,0,0,0,0,51,0,0,351
Work,127500,127500,45,0,18,0,0,0,0,0,0,6,0,0,78
Work,127600,127600,174,0,6,12,0,0,0,0,0,0,0,0,195
Work,127700,127700,111,0,0,9,0,0,0,0,0,0,0,0,126
Work,127800,127800,42,0,0,0,0,0,0,0,0,0,0,0,51
Work,127900,127900,69,0,6,0,0,0,0,0,0,0,0,0,90
Work,128000,128000,96,0,15,0,0,0,0,0,0,0,0,0,117
Work,128100,128100,135,0,0,9,0,0,0,0,0,0,0,0,147
